b3437,GLUCONOKINII-MONOMER
b2732,EG11287-MONOMER
b2210,EG12069-MONOMER
b1476,FDNI-MONOMER
b1038,G6544-MONOMER
b3120,EG11173-MONOMER
b1974,G7062-MONOMER
b2734,G7415-MONOMER
b0328,G6193-MONOMER
b1596,B1596-MONOMER
b2048,PHOSMANMUT-MONOMER
b1647,G6887-MONOMER
b3197,G7662-MONOMER
b2850,G7470-MONOMER
b2390,G7252-MONOMER
b0490,YBBL-MONOMER
b1747,ARGSUCCTRAN-MONOMER
b2576,EG10975-MONOMER
b1272,EG10956-MONOMER
b2069,EG12200-MONOMER
b1479,MALIC-NAD-MONOMER
b2364,PD00297
b1574,DICF-RNA
b4299,G7912-MONOMER
b3883,EG11848-MONOMER
b1661,CFA-MONOMER
b1208,EG11294-MONOMER
b1878,G7027-MONOMER
b1651,GLYOXI-MONOMER
b4309,G7919-MONOMER
b3206,EG12147-MONOMER
b2661,SUCCSEMIALDDEHYDROG-MONOMER
b2371,G7234-MONOMER
b3451,UGPE-MONOMER
b2896,G7509-MONOMER
b2173,EG12104-MONOMER
b0444,G6245-MONOMER
b1166,G6606-MONOMER
b3161,MTR-MONOMER
b3408,EG12101-MONOMER
b0378,G6227-MONOMER
b1118,YCFW-MONOMER
b4231,YJFF-MONOMER
b0499,G6271-MONOMER
b1869,G7019-MONOMER
b1510,EG11780-MONOMER
b2113,EG10611-MONOMER
b2309,HISJ-MONOMER
b4518,MONOMER0-2665
b3766,EG11270-MONOMER
b2225,G7152-MONOMER
b1773,G6960-MONOMER
b2779,ENOLASE-MONOMER
b3697,EG11195-MONOMER
b0401,BRNQ-MONOMER
b3711,EG11721-MONOMER
b0984,G6505-MONOMER
b2200,CCMB-MONOMER
b3627,EG11352-MONOMER
b1865,H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER
b4158,G7839-MONOMER
b2417,CRR-MONOMER
b0331,G6196-MONOMER
b3595,EG11766-MONOMER
b4456,SRAJ-RNA
b1877,G7026-MONOMER
b0393,EG12158-MONOMER
b2141,EG12023-MONOMER
b0575,YBDE-MONOMER
b3039,EG11166-MONOMER
b3696,EG11719-MONOMER
b3961,PD00214
b2684,EG10603-MONOMER
b2268,G7175-MONOMER
b1830,EG10760-MONOMER
b3718,EG11728-MONOMER
b3318,EG10883-MONOMER
b3036,EG11163-MONOMER
b0358,G6210-MONOMER
b2334,G7205-MONOMER
b4577,RNA0-241
b0457,G6252-MONOMER
b0379,G6228-MONOMER
b3831,URPHOS-MONOMER
b3693,DEHYDDEOXGALACTKIN-MONOMER
b2305,G7197-MONOMER
b0982,G6503-MONOMER
b1032,serX-tRNA
b0188,G6096-MONOMER
b1307,EG10779-MONOMER
b3667,UHPC-MONOMER
b3807,EG11653-MONOMER
b1190,ALARACECAT-MONOMER
b1518,G6805-MONOMER
b3399,G7742-MONOMER
b0783,EG11666-MONOMER
b4703,MONOMER0-4214
b3753,PD03867
b2157,EG12105-MONOMER
b0123,EG12318-MONOMER
b2842,KDUD-MONOMER
b4184,G7849-MONOMER
b4098,EG10719-MONOMER
b3166,EG11177-MONOMER
b1419,EG11219-MONOMER
b0712,G6381-MONOMER
b1976,G7063-MONOMER
b1387,G6708-MONOMER
b2247,G7160-MONOMER
b4678,MONOMER0-2870
b2007,G7087-MONOMER
b0075,EG11280-MONOMER
b1504,G6794-MONOMER
b3359,ACETYLORNTRANSAM-MONOMER
b0381,DALADALALIGA-MONOMER
b3305,EG10869-MONOMER
b4537,MONOMER0-2677
b1796,G6982-MONOMER
b1228,G6631-MONOMER
b1175,EG10597-MONOMER
b4395,PGAM2-MONOMER
b3565,XYLISOM-MONOMER
b3747,KUP-MONOMER
b3279,G7696-MONOMER
b4104,PHNE-MONOMER
b0454,G6251-MONOMER
b0991,G6512-MONOMER
b2482,MONOMER0-153
b2102,G7134-MONOMER
b2131,YEHZ-MONOMER
b4135,EG12176-MONOMER
b3866,EG11835-MONOMER
b2306,HISP-MONOMER
b2942,S-ADENMETSYN-MONOMER
b3511,EG11495-MONOMER
b3182,EG10202-MONOMER
b4181,G7846-MONOMER
b0935,MONOMER-162
b0660,G6363-MONOMER
b3216,G7670-MONOMER
b2704,GUTB-MONOMER
b4045,EG11928-MONOMER
b0604,DSBG-MONOMER
b3755,EG11733-MONOMER
b2302,G7194-MONOMER
b2019,ATPPHOSRIBOSTRANS-MONOMER
b3879,EG11844-MONOMER
b2754,EG12845-MONOMER
b1586,G6844-MONOMER
b1925,EG11388-MONOMER
b4428,MONOMER0-1604
