b3437,GLUCONOKINII-MONOMER
b3307,EG10913-MONOMER
b1684,EG11378-MONOMER
b4451,SRAI-RNA
b2603,G7354-MONOMER
b3026,EG12658-MONOMER
b2246,B2246-MONOMER
b2377,G7240-MONOMER
b4187,EG11811-MONOMER
b4550,MONOMER0-2687
b2955,G7531-MONOMER
b2437,EG12190-MONOMER
b1525,G6811-MONOMER
b3703,EG10892-MONOMER
b1948,EG11975-MONOMER
b2260,O-SUCCINYLBENZOATE-COA-LIG-MONOMER
b2179,YEJE-MONOMER
b1123,POTD-MONOMER
b0678,GLUCOSAMINE-6-P-DEAMIN-MONOMER
b2646,G7381-MONOMER
b0437,EG10158-MONOMER
b1378,G6701-MONOMER
b1636,PDXY-MONOMER
b3920,EG11874-MONOMER
b0204,RRLH-RRNA
b4505,MONOMER0-2655
b2900,G7513-MONOMER
b4151,FUM-MEMB2
b2765,G7431-MONOMER
b2519,G7322-MONOMER
b3071,G7594-MONOMER
b2544,G7338-MONOMER
b3424,EG10397-MONOMER
b4139,ASPARTASE-MONOMER
b2528,EG12132-MONOMER
b3908,SUPEROX-DISMUTMN-MONOMER
b0419,G6236-MONOMER
b1254,EG11122-MONOMER
b4548,MONOMER0-2686
b1690,B1690-MONOMER
b4303,G7915-MONOMER
b1061,G6558-MONOMER
b3655,EG11684-MONOMER
b3625,EG11425-MONOMER
b0207,MONOMER0-149
b0605,EG11384-MONOMER
b0821,G6424-MONOMER
b2135,EG12016-MONOMER
b2052,FCL-MONOMER
b2042,G7093-MONOMER
b0144,EG11362-MONOMER
b3171,metY-tRNA
b2000,G7080-MONOMER
b3678,EG11705-MONOMER
b2326,G7201-MONOMER
b2340,G7211-MONOMER
b0221,ACYLCOADEHYDROG-MONOMER
b0902,PFLACTENZ-MONOMER
b2379,G7242-MONOMER
b3406,EG11578-MONOMER
b0654,GLTJ-MONOMER
b0322,MONOMER0-2772
b2871,G7490-MONOMER
b2039,DTDPGLUCOSEPP-MONOMER
b4327,G7924-MONOMER
b1051,EG11338-MONOMER
b1937,EG11346-MONOMER
b3466,EG12212-MONOMER
b2472,MONOMER0-1981
b2316,CARBOXYL-TRANSFERASE-BETA-MONOMER
b1689,G6915-MONOMER
b2096,TAGAALDOL2-MONOMER
b1714,PHES-MONOMER
b2549,G7343-MONOMER
b1699,G6922-MONOMER
b1873,G7023-MONOMER
b0572,G6320-MONOMER
b0540,MONOMER0-4243
b4226,INORGPYROPHOSPHAT-MONOMER
b0434,EG12182-MONOMER
b3637,EG10886-MONOMER
b2912,EG11158-MONOMER
b2600,CHORISMUTPREPHENDEHYDROG-MONOMER
b1557,EG12203-MONOMER
b1063,EG11117-MONOMER
b1826,G7002-MONOMER
b2413,EG10003-MONOMER
b3255,BCCP-MONOMER
b1407,EG11310-MONOMER
b0265,G6139-MONOMER
b2018,EG11269-MONOMER
b1466,NARW-MONOMER
b2829,EG12188-MONOMER
b0176,EG12436-MONOMER
b3494,EG12231-MONOMER
b2453,G7283-MONOMER
b4039,CHORPYRLY-MONOMER
b3604,EG11962-MONOMER
b0478,YBAL-MONOMER
b0857,POTI-MONOMER
b3497,EG12233-MONOMER
b1515,YDEZ-MONOMER
b1957,G7050-MONOMER
b4061,EG11938-MONOMER
b2394,G7255-MONOMER
b3028,EG12656-MONOMER
b2811,G7455-MONOMER
b0491,G6267-MONOMER
b1376,G6699-MONOMER
b1967,G7055-MONOMER
b2855,G7475-MONOMER
b1350,EG10827-MONOMER
b2450,G7280-MONOMER
b4452,IS183-RNA
b4383,PPENTOMUT-MONOMER
b0329,G6194-MONOMER
b1415,LACTALDDEHYDROG-MONOMER
b3609,SECB
b1482,EG10680-MONOMER
b3110,YHAO-MONOMER
b4214,EG10043-MONOMER
b1986,asnU-tRNA
b0606,EG11385-MONOMER
b3441,G7758-MONOMER
b2952,G7528-MONOMER
b3895,EG11859-MONOMER
b2940,G7522-MONOMER
b1217,EG12402-MONOMER
b4590,MONOMER0-2815
b0548,G6304-MONOMER
b2764,ALPHACOMP-MONOMER
b2094,GATA-MONOMER
b2287,NUOB-MONOMER
b2918,EG11445-MONOMER
b3087,G7606-MONOMER
b0131,ASPDECARBOX-MONOMER
b3631,EG11339-MONOMER
b0861,ARTM-MONOMER
b1751,G6946-MONOMER
b4377,G7951-MONOMER
b4329,G7926-MONOMER
b2208,NAPF-MONOMER
b4068,YJCH-MONOMER
b0603,G6332-MONOMER
b0300,G6170-MONOMER
b2872,G7491-MONOMER
b3353,G7718-MONOMER
b4140,G7832-MONOMER
b0570,G6318-MONOMER
b0214,EG10860-MONOMER
b3543,DPPB-MONOMER
b0222,G6106-MONOMER
b0639,NICONUCADENYLYLTRAN-MONOMER
b1503,G6793-MONOMER
b2894,EG11071-MONOMER
b2839,PD00360
b0091,UDP-NACMUR-ALA-LIG-MONOMER
b0512,G6281-MONOMER
b2877,G7496-MONOMER
b0943,G6485-MONOMER
b2652,RNA0-305
b2831,EG10624-MONOMER
b0269,G6141-MONOMER
b0445,EG13217-MONOMER
b2543,G7337-MONOMER
b1784,G6970-MONOMER
b2285,NUOE-MONOMER
b4215,G7870-MONOMER
b0406,EG10996-MONOMER
b0096,UDPACYLGLCNACDEACETYL-MONOMER
b4321,GNTP-MONOMER
b4538,MONOMER0-2678
b0259,G7769-MONOMER
b4239,TRE6PHYDRO-MONOMER
b2495,G7312-MONOMER
b1455,G6766-MONOMER
b1782,G6968-MONOMER
b1467,NARY-MONOMER
b2441,EUTB-MONOMER
b1562,EG11130-MONOMER
b0782,MONOMER0-1501
b0724,SDH-FE-S
b2714,EG10087-MONOMER
b1332,G6668-MONOMER
b1844,G7016-MONOMER
b4691,RNA0-128
b2047,G7098-MONOMER
b4597,RNA0-328
b0342,GALACTOACETYLTRAN-MONOMER
b0692,POTE-MONOMER
b2041,DTDPGLUCDEHYDRAT-MONOMER
b3745,EG11730-MONOMER
b0187,G6095-MONOMER
b2009,EG11892-MONOMER
b1901,ARAF-MONOMER
b1983,G7068-MONOMER
b1279,G6637-MONOMER
b0895,DMSB-MONOMER
b3549,EG10986-MONOMER
b3630,EG11340-MONOMER
b0595,ENTB-MONOMER
b2166,EG11646-MONOMER
b1835,G7008-MONOMER
b0071,LEUD-MONOMER
b1236,GLUC1PURIDYLTRANS-MONOMER
b4622,MONOMER0-2830
b3354,G7719-MONOMER
b0255,G6130-MONOMER
b3203,EG11681-MONOMER
b3867,HEMN-MONOMER
b0225,G6109-MONOMER
b3556,PD03695
b2423,CYSW-MONOMER
b3413,G7747-MONOMER
b1400,G6721-MONOMER
b3647,EG11334-MONOMER
b0726,E1O-MONOMER
b2611,G7355-MONOMER
b3144,G7639-MONOMER
b0760,MODF-MONOMER
b2006,G7086-MONOMER
b1157,G6599-MONOMER
b3096,G7610-MONOMER
b4484,G7816-MONOMER
b3320,EG10866-MONOMER
b0127,YADG-MONOMER
b2554,EG11285-MONOMER
b2370,EVGS-MONOMER
b1454,G6765-MONOMER
b2060,G7105-MONOMER
b2802,FUCISOM-MONOMER
b0941,G6483-MONOMER
b1847,EG11807-MONOMER
b3934,PD04028
b4099,EG10718-MONOMER
b1131,ASL-MONOMER
b1884,CHER-MONOMER
b3743,PD00250
b3104,G7618-MONOMER
b3084,G7603-MONOMER
b4606,MONOMER0-762
b3622,EG11424-MONOMER
b0764,MODB-MONOMER
b3520,EG12246-MONOMER
b1921,EG11356-MONOMER
b4449,SRAG-RNA
b1243,OPPA-MONOMER
b1874,G7024-MONOMER
b3704,EG10862-MONOMER
b3791,RFFTRANS-MONOMER
b3829,HOMOCYSMET-MONOMER
b1861,EG10923-MONOMER
b1851,PGLUCONDEHYDRAT-MONOMER
b2980,G7546-MONOMER
b1577,EG11304-MONOMER
b0486,B0486-MONOMER
b4357,G7944-MONOMER
b1855,MYRISTOYLACYLTRAN-MONOMER
b4370,leuQ-tRNA
b3931,EG11881-MONOMER
b4222,G7876-MONOMER
b3903,RHAMNISOM-MONOMER
b3010,G7563-MONOMER
b3195,YRBF-MONOMER
b3839,EG11479-MONOMER
b2177,YEJA-MONOMER
b3662,YICM-MONOMER
b4339,G7935-MONOMER
b3922,EG11876-MONOMER
b4371,G7950-MONOMER
b0788,G6405-MONOMER
b2867,G7486-MONOMER
b2583,G7349-MONOMER
b1599,B1599-MONOMER
b0711,G6380-MONOMER
b2359,G7228-MONOMER
b2911,6S-RNA
b3959,ACETYLGLUTKIN-MONOMER
b0252,G6127-MONOMER
b2054,G7099-MONOMER
b1348,EG11900-MONOMER
b2618,G7357-MONOMER
b3220,G7674-MONOMER
b1019,EG11735-MONOMER
b3031,G7578-MONOMER
b4347,G7940-MONOMER
b3017,EG11376-MONOMER
b2500,GART-MONOMER
b0326,G6191-MONOMER
b1439,G6750-MONOMER
b0630,EG11591-MONOMER
b0513,G6282-MONOMER
b4364,G7946-MONOMER
b2017,EG12844-MONOMER
b1180,G6617-MONOMER
b1409,G6728-MONOMER
b0033,CARBPSYN-LARGE
b0584,EG10293-MONOMER
b0989,G6510-MONOMER
b1959,EG11141-MONOMER
b0906,G6469-MONOMER
b4243,G7877-MONOMER
b2961,EG10627-MONOMER
b4379,G7953-MONOMER
b4257,G7887-MONOMER
b3853,alaT-tRNA
b3463,FTSE-MONOMER
b3636,EG10891-MONOMER
b0543,EMRE-MONOMER
b4450,SRAH-RNA
b2431,G7266-MONOMER
b0151,FHUC-MONOMER
b2236,EG12360-MONOMER
b1411,G6730-MONOMER
b3885,EG11850-MONOMER
b3698,EG11196-MONOMER
b0456,EG11099-MONOMER
b0838,G6438-MONOMER
b3759,RRFC-RRNA
b0925,EG11253-MONOMER
b2129,YEHX-MONOMER
b3119,PD03292
b0167,GLND-MONOMER
b1345,G6676-MONOMER
b1951,PD02233
b0907,PSERTRANSAM-MONOMER
b2156,LYSP-MONOMER
b2953,G7529-MONOMER
b4054,TYRB-MONOMER
b4407,THIS-MONOMER
b2426,EG12133-MONOMER
b3292,EG11969-MONOMER
b0973,HYAB-MONOMER
b3391,EG12113-MONOMER
b4006,AICARTRANSIMPCYCLO-CPLX
b4106,PHNC-MONOMER
b0451,AMTB-MONOMER
b4217,G7872-MONOMER
b3966,EG10126-MONOMER
b0433,AMPG-MONOMER
b3871,EG11837-MONOMER
b0511,B0511-MONOMER
b1315,G6653-MONOMER
b0070,B0070-MONOMER
b1296,B1296-MONOMER
b3172,ARGSUCCINSYN-MONOMER
b1598,G6856-MONOMER
b2859,G7479-MONOMER
b1209,EG11293-MONOMER
b3847,EG10698-MONOMER
b0878,MACA
b1498,G6788-MONOMER
b4605,MONOMER0-2824
b2797,LSERINEDEAM2-MONOMER
b3249,EG10610-MONOMER
b1047,G6552-MONOMER
b1567,G6834-MONOMER
b4509,MONOMER0-2657
b3473,YHHS-MONOMER
b1464,EG11825-MONOMER
b3226,G7678-MONOMER
b1136,ISOCITDEH-SUBUNIT
b3396,EG10748-MONOMER
b1799,G6985-MONOMER
b3505,MONOMER0-4241
b1883,CHEB-MONOMER
b0530,G6290-MONOMER
b1917,EG12347-MONOMER
b3100,G7614-MONOMER
b2501,PPK-MONOMER
b1849,GARTRANSFORMYL2-MONOMER
b4218,G7873-MONOMER
b2503,G7314-MONOMER
b0765,MODC-MONOMER
b3518,EG12244-MONOMER
b1097,EG11494-MONOMER
b2594,EG12098-MONOMER
b4073,NRFD-MONOMER
b2890,LYSS-MONOMER
b3005,EG10272-MONOMER
b1105,G6565-MONOMER
b2109,EG11988-MONOMER
b3710,YIDY-MONOMER
b2852,G7472-MONOMER
b3322,EG11263-MONOMER
b0798,EG11579-MONOMER
b2672,B0899-MONOMER
b4112,BASS-MONOMER
b2805,PD00444
b0845,G6443-MONOMER
b0790,G6407-MONOMER
b0744,valT-tRNA
b1375,G6698-MONOMER
b2204,NAPH-MONOMER
b2294,G7188-MONOMER
b3563,EG11267-MONOMER
b2271,G7178-MONOMER
b2487,MONOMER0-150
b2026,HISTCYCLOPRATPPHOS
b1134,G6580-MONOMER
b0320,G6185-MONOMER
b1292,SAPC-MONOMER
b1622,EG10564-MONOMER
b0949,UUP-MONOMER
b1810,G6994-MONOMER
b3389,AROB-MONOMER
b2916,EG10490-MONOMER
b4197,G7859-MONOMER
b2928,EG11161-MONOMER
b2766,G7432-MONOMER
b0516,G6285-MONOMER
b1685,G6911-MONOMER
b3680,EG11707-MONOMER
b1326,G6662-MONOMER
b1828,B1828-MONOMER
b2777,G7443-MONOMER
b1538,EG10212-MONOMER
b0262,YAGC-MONOMER
b4434,IS092-RNA
b2781,EG10572-MONOMER
b3074,G7597-MONOMER
b3992,THIF-MONOMER
b1686,G6912-MONOMER
b1541,G6815-MONOMER
b0117,EG12315-MONOMER
b4095,EG10722-MONOMER
b4438,RYEE-RNA
b1674,G6902-MONOMER
b0076,PD00519
b1165,G6605-MONOMER
b0084,EG10341-MONOMER
b3059,EG11674-MONOMER
b3872,EG11838-MONOMER
b1778,EG12394-MONOMER
b2144,EG12025-MONOMER
b1638,PDXH-MONOMER
b1379,G6702-MONOMER
b0657,EG10168-MONOMER
b3358,G7721-MONOMER
b0453,G6250-MONOMER
b4420,RNA0-161
b3095,G7609-MONOMER
b2856,G7476-MONOMER
b3536,EG12263-MONOMER
b2801,FUCP-MONOMER
b0057,EG12611-MONOMER
b2093,GATB-MONOMER
b4177,ADENYLOSUCCINATE-SYN-MONOMER
b4291,EG10286-MONOMER
b3022,G7572-MONOMER
b3699,EG10424-MONOMER
b4447,C0730-RNA
b2217,RCSB-MONOMER
b0985,G6506-MONOMER
b2977,G7543-MONOMER
b2755,G7425-MONOMER
b1671,G6899-MONOMER
b4028,EG11925-MONOMER
b3929,EG11879-MONOMER
b2683,G7406-MONOMER
b1274,EG11013-MONOMER
b2044,G7095-MONOMER
b1737,CELB-MONOMER
b0848,G6446-MONOMER
b4279,YJHB-MONOMER
b2477,EG10658-MONOMER
b3589,EG12293-MONOMER
b1722,G6928-MONOMER
b3724,EG10735-MONOMER
b4457,CSRC-RNA
b4192,G7855-MONOMER
b3493,PITA-MONOMER
b1765,EG11134-MONOMER
b0580,G6325-MONOMER
b3058,H2NEOPTERINALDOL-MONOMER
b2960,EG11779-MONOMER
b4608,RNA0-330
b1020,EG11734-MONOMER
b3128,GALACTARDEHYDRA-MONOMER
b3690,EG11714-MONOMER
b1895,G7031-MONOMER
b4445,RYGB-RNA
b3603,LCTP-MONOMER
b3113,G7626-MONOMER
b1306,EG10778-MONOMER
b2014,YEEF-MONOMER
b1615,G6866-MONOMER
b0081,EG11084-MONOMER
b0219,G6103-MONOMER
b1474,FDNG-MONOMER
b3928,EG11878-MONOMER
b0404,EG11095-MONOMER
b4417,RYBB-RNA
b2058,G7103-MONOMER
b1756,YNJD-MONOMER
b4669,MONOMER0-2868
b2025,CYCLASE-MONOMER
b3918,CDPDIGLYPYPHOSPHA-MONOMER
b0885,EG11112-MONOMER
b1341,G6673-MONOMER
b1289,G6641-MONOMER
b2234,NRDA-MONOMER
b0697,KDPB-MONOMER
b1075,G360-MONOMER
b4102,EG10715-MONOMER
b1297,G6644-MONOMER
b0174,UPPSYN-MONOMER
b4336,G7933-MONOMER
b3652,EG10829-MONOMER
b1211,EG10761-MONOMER
b3660,EG11688-MONOMER
b4285,G7906-MONOMER
b4034,MALE-MONOMER
b1727,G6932-MONOMER
b3687,EG11534-MONOMER
b1111,G6569-MONOMER
b3454,LIVF-MONOMER
b4460,ARAH-MONOMER
b3764,EG11450-MONOMER
b3088,G7607-MONOMER
b2418,PDXK-MONOMER
b4199,G7861-MONOMER
b1119,G6576-MONOMER
b1230,tyrV-tRNA
b2806,EG11794-MONOMER
b1115,G6572-MONOMER
b0346,G6201-MONOMER
b2265,MENF-MONOMER
b3663,EG11690-MONOMER
b3805,OHMETHYLBILANESYN-MONOMER
b0939,G6481-MONOMER
b1335,EG10668-MONOMER
b3950,FRWB-MONOMER
b1858,ZNUC-MONOMER
b2713,EG11552-MONOMER
b0828,EG12407-MONOMER
b4532,MONOMER0-2673
b1563,EG11131-MONOMER
b0471,EG11100-MONOMER
b2022,IMIDPHOSPHADEHYDHISTIDPHOSPHA-MONOMER
b2483,MONOMER0-154
b3539,YHJV-MONOMER
b3892,FDOI-MONOMER
b2449,G7279-MONOMER
b3034,EG12633-MONOMER
b2846,G7466-MONOMER
b0371,G6222-MONOMER
b0277,G6148-MONOMER
b3664,EG11691-MONOMER
b3550,EG12270-MONOMER
b0683,PD00260
b4430,RYDB-RNA
b3998,EG11915-MONOMER
b3993,THIE-MONOMER
b1449,G6760-MONOMER
b1237,PD00288
b1775,B1775-MONOMER
b1833,G7006-MONOMER
b1712,PD00347
b1035,G6541-MONOMER
b1625,G6869-MONOMER
b1304,EG10776-MONOMER
b0503,EG11768-MONOMER
b4385,EG12342-MONOMER
b0189,G6097-MONOMER
b4213,CPDB-MONOMER
b3259,EG11497-MONOMER
b1008,G6519-MONOMER
b3878,EG11843-MONOMER
b2948,G7524-MONOMER
b2365,DSDX-MONOMER
b3135,AGAA-MONOMER
b1570,EG10226-MONOMER
b2168,1-PFK-MONOMER
b1480,EG11508-MONOMER
b2632,G7367-MONOMER
b0405,EG10812-MONOMER
b0521,EG12384-MONOMER
b1359,G6683-MONOMER
b2267,G7174-MONOMER
b1368,G6691-MONOMER
b0215,EG10243-MONOMER
b2509,EG11072-MONOMER
b4318,EG10313-MONOMER
b2139,EG12021-MONOMER
b2927,ERYTH4PDEHYDROG-MONOMER
b2336,G7207-MONOMER
b1548,EG11634-MONOMER
b0965,G6499-MONOMER
b2206,NAPA-MONOMER
b3225,ACNEULY-MONOMER
b1991,DMBPPRIBOSYLTRANS-MONOMER
b3316,EG10918-MONOMER
b3356,EG11182-MONOMER
b1016,G6525-MONOMER
b4105,PHND-MONOMER
b2447,G7277-MONOMER
b1191,YCGO-MONOMER
b3787,UDPMANNACADEHYDROG-MONOMER
b2727,EG10484-MONOMER
b1073,FLGB-FLAGELLAR-MOTOR-ROD-PROTEIN
b0218,G6102-MONOMER
b2325,G7200-MONOMER
b1803,G6989-MONOMER
b0340,CYANLY-MONOMER
b0999,EG12194-MONOMER
b0909,G6470-MONOMER
b2887,G7506-MONOMER
b1007,G6518-MONOMER
b3887,EG11852-MONOMER
b4604,MONOMER0-2823
b4481,G7800-MONOMER
b3093,EXUT-MONOMER
b0132,EG11748-MONOMER
b4444,SRAE-RNA
b2404,lysV-tRNA
b0537,EG10507-MONOMER
b1886,TAR-MONOMER
b0321,G6186-MONOMER
b2443,G7273-MONOMER
b0439,EG10542-MONOMER
b0876,G6459-MONOMER
b3976,thrU-tRNA
b0950,G6490-MONOMER
b1703,EG11132-MONOMER
b1093,3-OXOACYL-ACP-REDUCT-MONOMER
b0139,EG11972-MONOMER
b3263,G7694-MONOMER
b3596,EG11763-MONOMER
b1679,G6905-MONOMER
b1728,G6933-MONOMER
b3309,EG10884-MONOMER
b4301,G7914-MONOMER
b2493,G7310-MONOMER
b0016,G6083-MONOMER
b0945,DIHYDROOROTOX-MONOMER
b2564,PDXJ-MONOMER
b1618,G6867-MONOMER
b0705,G6377-MONOMER
b0147,EG12330-MONOMER
b4337,YJIO-MONOMER
b0905,G6468-MONOMER
b1218,EG12403-MONOMER
b2891,EG10762-MONOMER
b0211,EG10246-MONOMER
b1705,EG12391-MONOMER
b1362,G6686-MONOMER
b0270,B0270-MONOMER
b1168,G6608-MONOMER
b3919,TPI-MONOMER
b2523,EG12310-MONOMER
b1670,G6898-MONOMER
b3107,G7621-MONOMER
b4372,EG11414-MONOMER
b3850,PROTOPORGENOXI-MONOMER
b1324,G6660-MONOMER
b4212,G7869-MONOMER
b4466,G7541-MONOMER
b2812,G7456-MONOMER
b1543,B1543-MONOMER
b2323,FABB-MONOMER
b3775,EG12352-MONOMER
b3142,G7637-MONOMER
b3476,NIKA-MONOMER
b4516,MONOMER0-4228
b3944,EG11903-MONOMER
b0517,G6286-MONOMER
b0467,EG10765-MONOMER
b3411,EG11750-MONOMER
b3499,EG12234-MONOMER
b1337,G6669-MONOMER
b1395,G6716-MONOMER
b0136,EG12325-MONOMER
b1110,EG12444-MONOMER
b4399,CREC-MONOMER
b0847,G6445-MONOMER
b3085,G7604-MONOMER
b2789,B2789-MONOMER
b4281,G7902-MONOMER
b3228,EG10978-MONOMER
b1945,FLIM-FLAGELLAR-C-RING-SWITCH
b1329,G6665-MONOMER
b4406,MONOMER0-741
b4326,G7923-MONOMER
b2259,G7172-MONOMER
b1606,G6862-MONOMER
b0347,MHPHYDROXY-MONOMER
b1197,TREHALAPERI-MONOMER
b2197,CCME-MONOMER
b0369,PORPHOBILSYNTH-MONOMER
b2983,G7549-MONOMER
b1529,EG11637-MONOMER
b3176,PHOSGLUCOSAMINEMUT-MONOMER
b3268,YHDW-MONOMER
b4056,EG11935-MONOMER
b2619,G7358-MONOMER
b3886,EG11851-MONOMER
b0109,QUINOPRIBOTRANS-MONOMER
b3337,EG11181-MONOMER
b1144,G6588-MONOMER
b1872,G7022-MONOMER
b3910,EG11870-MONOMER
b4410,MONOMER0-1562
b0832,YLID-MONOMER
b4352,EG10021-MONOMER
b0367,TAUC-MONOMER
b2341,G7212-MONOMER
b0952,G6492-MONOMER
b1919,DCYSDESULF-MONOMER
b1330,MONOMER0-82
b0863,ARTI-MONOMER
b2239,GLYCPDIESTER-PERI-MONOMER
b1258,EG11126-MONOMER
b1161,G6601-MONOMER
b4323,MANNONOXIDOREDUCT-MONOMER
b3459,EG12211-MONOMER
b2201,CCMA-MONOMER
b1694,EG12432-MONOMER
b0247,G6122-MONOMER
b4403,EG12309-MONOMER
b3532,EG12259-MONOMER
b0996,EG11815-MONOMER
b4424,RNA0-163
b2310,ARGT-MONOMER
b0343,LACY-MONOMER
b1068,G6560-MONOMER
b1444,G6755-MONOMER
b1792,G6978-MONOMER
b1473,EG12713-MONOMER
b0474,ADENYL-KIN-MONOMER
b4258,VALS-MONOMER
b3827,EG11471-MONOMER
b3540,DPPF-MONOMER
b4467,MONOMER0-561
b2673,G7401-MONOMER
b2376,G7239-MONOMER
b1079,FLGH-FLAGELLAR-L-RING
b4008,gltV-tRNA
b3393,G7737-MONOMER
b0272,G6144-MONOMER
b4524,MONOMER0-2667
b3214,EG11514-MONOMER
b3485,YHHJ-MONOMER
b1740,NAD-SYNTH-MONOMER
b3426,AERGLYC3PDEHYDROG-MONOMER
b2081,G7118-MONOMER
b2988,GSP-MONOMER
b3855,RRFA-RRNA
b2616,EG10831-MONOMER
b4596,MONOMER0-2820
b2512,G7320-MONOMER
b4707,RNA0-372
b2524,EG12311-MONOMER
b1879,G370-MONOMER
b3484,EG11525-MONOMER
b1116,YCFU-MONOMER
b0916,G6471-MONOMER
b1611,FUMC-MONOMER
b2722,HYCD-MONOMER
b0801,EG11581-MONOMER
b2788,G7446-MONOMER
b0759,UDPGLUCEPIM-MONOMER
b1738,CELA-MONOMER
b1294,SAPA-MONOMER
b1000,EG12193-MONOMER
b1808,G6992-MONOMER
b2053,GDPMANDEHYDRA-MONOMER
b1421,TRG-MONOMER
b2180,YEJF-MONOMER
b3810,EG11201-MONOMER
b3876,YIHO-MONOMER
b0430,CYOC-MONOMER
b2700,G7409-MONOMER
b2407,XANTHOSINEPHOSPHORY-MONOMER
b4022,EG11921-MONOMER
b2034,EG11983-MONOMER
b4145,G7835-MONOMER
b4180,G7845-MONOMER
b0918,CPM-KDOSYNTH-MONOMER
b0694,KDPE-MONOMER
b3561,EG12274-MONOMER
b0072,LEUC-MONOMER
b1213,G6630-MONOMER
b4555,MONOMER0-2691
b2696,EG11447-MONOMER
b1027,MONOMER0-4244
